0000000380,scans,0000000106,DataLength
"header",0000000025,"lines"
"Date",02/05/2023,"Time",13:31:39
"ID","HAL V RC RGA 201 #12461","Version",3
"Scans",6
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",4.00,4.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 2","RGA","Faraday","mass",18.00,18.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 3","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 4","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 5","RGA","SEM","mass",44.00,44.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 6","RGA","Faraday","none",0.40,0.40,0.01,3000.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",250,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",927,"V"
"resolution",0,"%"
"Data",6
"Time","ms","Scan 1 : He 4.00","Scan 2 : water 18.00","Scan 3 : Nitrogen 28.00","Scan 4 : Oxygen 32.00","Scan 5 : CO2 44.00","Scan 6 : none 0.40",
01:24:59,   5099297,  1.73042e-07,  1.71562e-10,  1.13621e-09,  6.15700e-11,  5.29295e-11, -1.85860e-12,
01:25:46,   5146216,  1.72821e-07,  1.72401e-10,  1.10472e-09,  6.73380e-11,  6.57470e-11, -1.47848e-12,
01:26:38,   5198138,  1.75142e-07,  1.75429e-10,  1.07571e-09,  6.03770e-11,  5.64655e-11, -2.71387e-12,
01:27:30,   5250082,  1.72821e-07,  1.50125e-10,  1.10831e-09,  4.20783e-11,  5.80125e-11, -5.94489e-13,
01:28:22,   5302003,  1.75915e-07,  1.60180e-10,  1.11549e-09,  3.47411e-11,  5.54710e-11, -2.54039e-12,
01:29:13,   5353925,  1.76357e-07,  1.80888e-10,  1.15859e-09,  6.86860e-11,  4.90620e-11, -3.43654e-13,
01:30:00,   5400844,  1.78567e-07,  1.65440e-10,  1.11964e-09,  5.17581e-11,  5.72390e-11, -4.16584e-12,
01:30:51,   5451683,  1.74700e-07,  1.48865e-10,  1.16356e-09,  4.52165e-11,  6.53050e-11,  6.78469e-13,
01:31:39,   5499376,  1.77573e-07,  1.52688e-10,  1.13676e-09,  5.98570e-11,  5.41450e-11,  2.76028e-12,
01:32:30,   5550243,  1.76578e-07,  1.64401e-10,  1.10859e-09,  4.89293e-11,  6.07750e-11, -8.76264e-13,
01:33:21,   5601081,  1.73926e-07,  1.66147e-10,  1.15914e-09,  5.79682e-11,  5.48080e-11,  1.38898e-12,
01:34:13,   5653030,  1.73153e-07,  1.56467e-10,  1.12433e-09,  7.00340e-11,  5.54710e-11, -1.85639e-12,
01:34:59,   5699950,  1.80556e-07,  1.56534e-10,  1.15721e-09,  5.21559e-11,  5.32610e-11,  2.43099e-12,
01:35:51,   5751871,  1.79672e-07,  1.53484e-10,  1.15196e-09,  5.09846e-11,  5.35925e-11, -1.17461e-12,
01:36:43,   5803791,  1.80335e-07,  1.52688e-10,  1.12654e-09,  5.85200e-11,  5.44765e-11,  7.15708e-12,
01:37:28,   5848582,  1.80998e-07,  1.53175e-10,  1.15279e-09,  5.66422e-11,  5.18245e-11,  4.78575e-12,
01:38:20,   5900503,  1.78788e-07,  1.49771e-10,  1.10997e-09,  7.13380e-11,  5.51395e-11,  1.67959e-13,
01:39:12,   5952396,  1.80998e-07,  1.51053e-10,  1.12930e-09,  5.58024e-11,  5.27085e-11,  4.08407e-12,
01:39:57,   5997213,  1.83761e-07,  1.61727e-10,  1.10057e-09,  4.88630e-11,  5.18245e-11,  3.58461e-12,
01:40:49,   6049133,  1.78678e-07,  1.60092e-10,  1.14671e-09,  6.03550e-11,  5.42555e-11,  1.18124e-12,
01:41:41,   6101053,  1.79672e-07,  1.58722e-10,  1.13234e-09,  6.09730e-11,  4.77360e-11,  3.59124e-13,
01:42:33,   6153000,  1.79451e-07,  1.48865e-10,  1.12792e-09,  5.44764e-11,  4.99460e-11,  4.25424e-12,
01:43:22,   6202846,  1.80998e-07,  1.52467e-10,  1.04035e-09,  7.12500e-11,  5.13825e-11,  2.85421e-12,
01:44:14,   6254765,  1.83540e-07,  1.31539e-10,  1.01079e-09,  5.07415e-11,  5.34820e-11,  1.13041e-12,
01:45:06,   6306713,  1.86523e-07,  1.42014e-10,  1.14367e-09,  7.72610e-11,  4.96145e-11, -3.29289e-13,
01:45:53,   6353656,  1.81661e-07,  1.57594e-10,  1.17047e-09,  4.61668e-11,  5.58025e-11, -1.30389e-13,
